taxa,20230210_BC19,20230210_BC52,20230210_BC38,20230210_BC39,20230210_BC54,20230210_BC42,20230210_BC55,20230210_BC25,20230210_BC06,20230210_BC26,20230210_BC10,20230210_BC51,20230210_BC01,20230210_BC60,20230210_BC14,20230210_BC20,20230210_BC56,20230210_BC28,20230210_BC22,20230210_BC59,20230210_BC21,20230210_BC50,20230210_BC23,20230210_BC17,20230210_BC18,20230210_BC37,20230210_BC13,20230206_BC30,20230206_BC32,20230206_BC31,20230206_BC33,20230215_BC19,20230215_BC38,20230215_BC30,20230215_BC42,20230215_BC25,20230215_BC27,20230215_BC16,20230215_BC12,20230215_BC14,20230215_BC29,20230215_BC20,20230215_BC24,20230215_BC41,20230215_BC22,20230215_BC21,20230215_BC23,20230215_BC17,20230215_BC18,20230131_BC41,20230322_BC53,20230322_BC62,20230322_BC44,20230322_BC63,20230322_BC58,20230322_BC46,20230322_BC43,20230322_BC47,20230322_BC37
diversity,3.253217425700312,1.8489629170498736,3.8477048140657897,3.641193771392695,2.7568945359991206,3.119152271531618,1.785537558360071,3.004803121989122,2.468263610591526,1.21525785660293,1.398649254021426,2.326473128727222,3.2971589658900053,2.713662913782229,2.176770978233852,2.79833508502352,2.289331898834243,1.0343882693860782,2.3678887857831765,2.4966498249085918,3.2761397436244706,3.1491422377578893,2.480869506725185,3.828349514488567,1.9074767980647132,2.030937895387919,2.79206825249104,3.83664770245198,2.2332507093678813,3.068661166125489,2.843440208312904,3.343456731499479,2.5849246336645466,2.633644577255411,2.9095796905907125,3.1576934163020383,3.4326585607893243,1.700090545577031,3.031725283185861,1.7610415012172302,2.4074298681597366,2.816984400016397,2.105639746971739,3.293796111048356,2.3953291672911545,2.5771076174172403,2.375564778330544,2.725849737383146,2.96434199520753,1.3949421781711366,1.618038913971178,3.6540868502563177,2.4781543032344806,3.019378341784681,1.391759245545403,1.7874572534123891,3.426090643548985,2.746127515958953,1.4508848368101872
observed,245.0,248.0,258.0,225.0,187.0,241.0,170.0,245.0,235.0,159.0,164.0,251.0,267.0,226.0,196.0,283.0,202.0,138.0,147.0,224.0,188.0,280.0,180.0,239.0,212.0,233.0,278.0,346.0,246.0,334.0,257.0,222.0,100.0,187.0,242.0,328.0,221.0,129.0,178.0,97.0,205.0,234.0,183.0,223.0,172.0,163.0,235.0,168.0,200.0,126.0,115.0,205.0,188.0,191.0,109.0,94.0,220.0,174.0,163.0
c__Actinobacteria,0.0085934248855597,0.0005906219505931,0.0040219296274659,0.0421959443854219,3.551893159053776e-05,4.381480940557909e-05,0.0350908699087709,0.0002554996295255,5.554218428896747e-05,0.0018089501922009,0.005752427184466,0.0005715047720648,0.0040311744154797,0.0025864673010119,0.0021547331333896,0.0038909195034445,0.0004366471734892,0.0011346625094157,0.0681681801816218,0.0217530856992792,0.0663777223967927,0.0134160188662765,0.0009374428388512,0.0013090251332825,0.0004416351541582,0.0007777561734396,0.0010659057739295,0.0069164478307504,0.0045922524257462,0.0023560826199638,0.0136544333698219,0.0011357391463638,0.1802964324237945,0.0014058309542347,0.0038484486873508,0.0392531480677377,0.0648858939178158,0.0789539775224461,0.0033226152197213,0.0496428752342839,0.0014032963706903,0.0003127857177229,0.0521284912230829,0.0027502750275027,0.0001930352868504,0.0001763746196922,0.0022666531344091,0.0081184725848563,0.0003918495297805,0.0010887004354801,0.0025392428439519,0.000757755150367,0.0009416195856873,0.0002709083168853,0.0021811502697738,0.0035693613737217,0.0417626863565818,0.0012902585479628,0.0019776578117483
c__Alphaproteobacteria,0.000957136912193,0.0,0.0008088797016132,0.0,1.775946579526888e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4431360093816422e-05,3.77586467301012e-05,5.823603063215211e-05,0.0002863447253617,0.0,0.0,0.0,1.4589594701059204e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0020170216952821,3.698635203609868e-05,0.0,0.0,0.0,0.0043597728521707,0.0026766809156645,0.0298685007353577,0.0017303102625298,0.0001302648719062,0.001806245440967,0.0129654046587555,0.00021436227224,0.000151967985411,0.0009630465289051,4.812087964968e-05,0.00014213630872,0.0001650165016501,3.860705737008725e-05,0.0,0.0001353225751886,8.159268929503917e-05,0.000569962952408,0.0012606005042402,9.233610341643582e-05,0.0001420790906938,0.0,0.0,5.739869130983814e-05,0.0,0.0,0.0,0.0
c__Bacilli,0.0244902205576362,0.0569821786246212,0.0401294207522581,0.0599796757355998,0.0529054486041059,0.0413319702059296,0.0493139860642195,0.0418252893533304,0.031788643474719,0.0408452730898102,0.0248543689320388,0.0636275312898862,0.3578461312941291,0.0361539042440718,0.0117636781876947,0.0199935993531977,0.0300350877192982,0.048037224558292,0.0072208665039804,0.043637477750868,0.2395709177592372,0.0223076251200978,0.1639153100420706,0.0336776466108149,0.0907836263766595,0.0460388445999956,0.060953411718404,0.0376151200207123,0.0406636545441078,0.0606298594204036,0.0507000057613642,0.0254259021798864,0.01637968918541,0.1242538281858292,0.0412291169451074,0.1204950065132436,0.0437319809649518,0.0178313555597413,0.0065916398713826,0.0843928878982827,0.0510689816470847,0.0926567537654588,0.1065666974628668,0.0863036303630363,0.0581422283993514,0.0621720534415097,0.052944957542542,0.0095871409921671,0.0680749501282416,0.0622851249140499,0.0064635272391505,0.1040492540847738,0.0710718087284041,0.0538720538720538,0.0044196992308575,0.0062704997105923,0.022997695527442,0.0156319785618579,0.0124538991929018
c__Bacteroidia,0.1125468164794007,0.6871757999075548,0.3024311328809598,0.3320707653933207,0.6527491653051076,0.4380312545640426,0.707671862653545,0.6200720508955262,0.7573361968415011,0.7692971817378256,0.8023058252427184,0.6538586097193911,0.2772470743446287,0.5617542667270805,0.5383338671636141,0.5124728393606091,0.6975282651072124,0.8177293400840985,0.4765571868624235,0.6192845262758601,0.282500812655759,0.5454974233557516,0.4594841777940369,0.3205683549124143,0.6379143779844876,0.6872772052628168,0.4725078303078008,0.4594444649924178,0.6014369305977335,0.646626875049085,0.4888517600967909,0.5203517127679063,0.0652790539730733,0.3726317155463275,0.6940334128878282,0.3287885366912722,0.5205113064017507,0.5964714007659948,0.4832261521972132,0.5208955979940226,0.582835759293399,0.4472354554641259,0.4902636628526757,0.5113311331133114,0.5605358659562968,0.5711892058732748,0.585879089279069,0.077186684073107,0.5999928754630949,0.7779051111620444,0.8624192059095106,0.577172626095193,0.4592647179235241,0.3675838848252641,0.7957180576282861,0.7479259116341886,0.3577576071109439,0.6367922187484492,0.7676519322251323
c__Campylobacteria,0.0002080732417811,0.0048533716809614,0.0,4.619151000046192e-05,0.0001065567947716,4.381480940557909e-05,1.7958479994253288e-05,0.0003065995554306,0.0,0.0239891462988467,0.0017233009708737,0.0002476520678947,0.0011238425643155,0.0006796556411418,0.0,6.737522949687547e-05,0.004756335282651,1.906995814144188e-05,2.0002400288034563e-05,0.0040996761109976,8.668328096218442e-05,0.0128919556293126,0.0,0.0019278370144706,0.0679842115432388,2.160433815110074e-05,0.0,0.0,0.0,0.0,0.0,0.0010258289063931,0.0,0.0028332900769962,0.0043854415274463,0.000651324359531,0.0001736774462468,0.0,0.0,0.0,0.0017334837520292,9.624175929936e-05,0.0003198066946201,0.0046204620462046,0.0011582117211026,4.4093654923056575e-05,6.766128759430292e-05,0.0,0.0049871758335708,0.00022920009168,0.0,4.735969689793985e-05,0.0039302382706951,0.0010449320794148,0.0085524050051658,0.0,0.0144852560786342,0.0,0.0031535624565717
c__Clostridia,0.7040158135663753,0.1207565096810641,0.5527119938884645,0.4077555545290776,0.1401044256588761,0.2801664962757412,0.0420408016665469,0.1727943994481208,0.1110843685779349,0.0729952515057454,0.0505825242718446,0.1379803021355228,0.245266423981823,0.2538136233197402,0.2369624086422269,0.2348532062187336,0.1186900584795321,0.0335440563707962,0.2411289354722566,0.1487992763561028,0.3412070646873984,0.165307013712988,0.2455414304005853,0.5686643183549124,0.1955063623064395,0.1497180633871281,0.3053902035060101,0.3751155823501128,0.1539145248500111,0.2528862012094557,0.2492942328743446,0.3267265066862063,0.4635052534856778,0.4348992127346656,0.1045047732696897,0.1140686061658706,0.2811143144951196,0.0627550700069065,0.4198821007502679,0.0533407628792867,0.2544644085518531,0.3997160868100669,0.0777840949470542,0.2411441144114411,0.2119141379044089,0.1115569469553331,0.1467911634358401,0.8112761096605744,0.1852735822171559,0.0873252349300939,0.1073407202216066,0.2157707790670139,0.2849013346434128,0.1456712721080537,0.0852944552864194,0.1085278796064055,0.3961811597610873,0.1019304252890675,0.0402480089796354
c__Coriobacteriia,0.0100291302538493,0.001065687432592,0.0049656226126814,0.0125640907201256,0.0006215813028344,0.0014458887103841,0.004112491918684,0.0049822427757479,0.00214763112584,0.0009044750961004,0.0041990291262135,0.0033147276779761,0.0164178739830446,0.0027752605346624,0.0087645226101388,0.0103757853425188,0.0008109161793372,0.0007914032628698,0.0033604032483898,0.005441918823495,0.0045075306100335,0.0096427635601362,0.0011432229742088,0.0147324828636709,0.0004416351541582,0.0012746559509149,0.0034108984765746,0.0042534304841513,0.0007406858751203,0.000667556742323,0.0008642046436596,0.0148012456493863,0.032559626063681,0.0021195605156155,0.0014319809069212,0.1096396005210594,0.0095522595435756,0.0034218622464996,0.0035905680600214,0.0054201914796616,0.0071540599290097,0.0057504451181367,0.0032691351005614,0.0051155115511551,0.0081846961624584,0.0012346223378455,0.0021989918468148,0.0046507832898172,0.0115061271017383,0.0071052028420811,0.000230840258541,0.0008051148472649,0.0061819372799475,0.0037927164363945,0.0017219607392951,0.0011576307158016,0.0149555566006678,0.0033745223562106,0.0005345021112833
c__Dehalobacteriia,4.161464835622139e-05,8.987725335113759e-05,0.0024491079854401,2.309575500023096e-05,8.879732897634439e-05,0.0001460493646852,0.0,0.0001277498147627,7.405624571862329e-05,2.0556252184101795e-05,7.281553398058253e-05,0.0001524012725506,4.8862720187632845e-05,0.0001321552635553,0.0002038261072125,0.0,3.118908382066277e-05,0.0,0.0,0.0001604855417116,0.0,0.0015372521617608,0.0,0.0,6.900549283722984e-05,8.641735260440296e-05,0.0001803840540496,0.0002219181122165,0.0,0.0001963402183303,5.761364291064124e-05,0.0001099102399706,0.0,6.488450558006747e-05,2.983293556085919e-05,0.0008250108554059,0.0,3.139323161926289e-05,0.0,0.0,0.0001375780755578,0.0001203021991241,0.0,0.0002200220022002,0.0002316423442205,0.0,6.766128759430292e-05,8.159268929503917e-05,0.000284981476204,0.0,0.0,0.0003788775751835,0.0001637599279456,0.0001935059406323,0.0001147973826196,0.0,0.0003762404176268,9.925065753560618e-05,0.0
