taxa,20230210_BC04,20230210_BC32,20230210_BC45,20230210_BC29,20230210_BC34,20230210_BC48,20230210_BC40,20230210_BC47,20230210_BC33,20230210_BC09,20230210_BC11,20230215_BC39,20230215_BC15,20230215_BC35,20230215_BC26,20230215_BC28,20230215_BC40,20230215_BC13,20230307_BC74,20230307_BC79,20230307_BC61,20230307_BC67,20230307_BC68,20230307_BC62,20230307_BC55,20230307_BC73,20230307_BC85,20230307_BC63,20230307_BC81,20230307_BC57,20230307_BC72,20230307_BC80,20230307_BC60,20230307_BC77,20230307_BC58,20230307_BC71,20230307_BC83,20230307_BC70,20230307_BC56,20230307_BC64,20230307_BC59,20230307_BC69,20230307_BC65,20230307_BC76,20230307_BC86,20230307_BC66,20230307_BC75,20230307_BC78,20230307_BC82,20230328_BC30,20230328_BC25,20230328_BC27,20230328_BC26,20230328_BC31,20230328_BC29,20230328_BC24,20230328_BC28,20230328_BC22,20230328_BC21,20230328_BC23,20230131_BC36,20230131_BC53,20230131_BC19,20230131_BC52,20230131_BC38,20230131_BC39,20230131_BC54,20230131_BC30,20230131_BC42,20230131_BC35,20230131_BC44,20230131_BC55,20230131_BC25,20230131_BC27,20230131_BC57,20230131_BC26,20230131_BC10,20230131_BC51,20230131_BC01,20230131_BC02,20230131_BC60,20230131_BC03,20230131_BC16,20230131_BC32,20230131_BC58,20230131_BC12,20230131_BC14,20230131_BC45,20230131_BC29,20230131_BC20,20230131_BC24,20230131_BC08,20230131_BC46,20230131_BC56,20230131_BC43,20230131_BC22,20230131_BC48,20230131_BC59,20230131_BC21,20230131_BC49,20230131_BC47,20230131_BC50,20230131_BC23,20230131_BC18,20230131_BC07,20230131_BC05,20230131_BC13,20230322_BC04,20230322_BC19,20230322_BC61,20230322_BC67,20230322_BC52,20230322_BC38,20230322_BC39,20230322_BC15,20230322_BC68,20230322_BC54,20230322_BC42,20230322_BC25,20230322_BC06,20230322_BC26,20230322_BC10,20230322_BC51,20230322_BC01,20230322_BC02,20230322_BC60,20230322_BC03,20230322_BC16,20230322_BC32,20230322_BC12,20230322_BC31,20230322_BC14,20230322_BC20,20230322_BC24,20230322_BC08,20230322_BC41,20230322_BC56,20230322_BC64,20230322_BC34,20230322_BC28,20230322_BC48,20230322_BC59,20230322_BC21,20230322_BC40,20230322_BC49,20230322_BC50,20230322_BC33,20230322_BC17,20230322_BC69,20230322_BC65,20230322_BC18,20230322_BC07,20230322_BC66,20230322_BC05,20230322_BC09,20230322_BC11,20230315_BC43,20230227_BC06,20230227_BC10,20230227_BC12,20230227_BC14,20230227_BC11,20230227_BC13,20230511_BC75,20230511_BC74,20230511_BC73,20230424_BC45,20230424_BC44,20230410_BC72,20230410_BC73
diversity,1.9824855644438917,2.8249927382974684,2.9889797495365675,2.3966211564255064,1.9263969784315855,2.5597542373811266,2.850968133067187,2.266209328061446,3.2290728045339288,3.157101240805398,2.325179694425028,3.022534412543458,2.0790376962808805,2.252956910384702,2.2874941070066783,2.7112677820490187,1.7312381453676162,2.315864572906233,2.18710745456344,2.353577778082971,3.258304687144962,2.718200667416676,1.305223223231338,3.2579202250804697,2.1597818375380005,2.2005537154201344,1.2065006067858803,1.9950531081566787,2.6308034108549805,2.2540647719895293,2.466377417990771,1.3212886305572369,2.295332708068656,2.921626792037109,2.662041804378848,2.452265966414421,1.2140860920262024,2.353966381743893,1.5953559541966782,2.1932311600443173,2.093590660402022,2.8442412687340317,2.6959287579063496,2.1052246581768075,1.8824963402254031,3.3228500105266137,2.4483349614855627,2.839902601579024,2.525216607984509,1.9467979993405151,1.933309956327269,2.3503734860237144,2.656132764272652,1.9788245494152783,2.4875225467687314,3.0829134117032355,3.0263342152096264,2.127973894528476,1.8636763529773173,2.603377124461177,2.8079049401201317,1.1103017238344357,2.9669310207238206,2.143290922985067,2.4339181216285963,2.6065327213702374,2.515589779621977,2.5534062612968675,1.9803336964942493,2.915258061534266,1.991472897368744,2.544717952291438,2.3660026880001435,2.678264677601537,2.4943973627954352,2.3730546285449043,3.047668085045672,2.9980954992999367,2.013415045137802,2.568986972995789,1.8725084679849395,2.727880518977305,2.558311126585456,1.9598146339976357,1.8193417217611465,2.4253578990502875,1.274613539470903,2.3818011826016385,2.655563428030504,2.433837675097362,1.9721880587166425,2.855159933826961,1.928244044616695,1.7306056062492274,3.335239623901399,2.6456334346441785,2.6412185258850087,1.6564677349177568,2.616048750996152,1.8610166504728969,2.385761708617381,1.2044017739118635,2.699182906316397,1.8532116289810103,2.0849801270715806,3.200478627683012,2.5550084842257994,2.8589308254521,2.276728140982012,2.16251806207766,2.7870090094746094,2.565584272393367,2.5449521395694146,2.3330544338216725,2.3562801285314787,2.5271117685892035,1.8758372896331328,2.11713028419598,3.324600710302439,2.764997810206407,2.686127021374395,2.8581801916039264,1.7838354370681426,2.571078859702942,2.55317520204669,2.005065107355989,2.520101184757229,1.9363448559774716,2.2793474132667244,2.662727926290813,2.4708118525097214,2.499153294344754,2.507281140857341,1.915999119042789,2.1531918336205904,1.980404689698555,2.443723583836626,1.7044471587799883,2.21712440455058,2.2846559041741084,2.285423820196082,1.80224759421804,2.3463254915312093,2.835680215540036,1.8848819041076428,1.5677824855796636,1.9566438458608413,3.0206738790926404,2.5413399273962027,1.908386122460399,2.023996130840089,1.9196672873676213,3.1803120921822803,2.7727528587461854,2.7615179850340628,1.4496900682196543,2.8017885659738218,2.566791396,1.943376229480157,2.5727326807296773,2.839958685856766,1.958763450397016,2.7530387857707,2.516395805058615,2.1527443629816707,3.0899302556668453,2.226921032659365,2.056037247723291,2.13421726539233,2.35348857347212
observed,195.0,140.0,157.0,125.0,98.0,152.0,202.0,93.0,220.0,273.0,118.0,147.0,144.0,127.0,118.0,107.0,88.0,112.0,79.0,75.0,158.0,94.0,50.0,135.0,76.0,56.0,86.0,47.0,93.0,75.0,96.0,111.0,75.0,133.0,85.0,66.0,79.0,105.0,51.0,60.0,87.0,141.0,113.0,61.0,84.0,148.0,86.0,145.0,72.0,79.0,56.0,108.0,98.0,70.0,94.0,112.0,127.0,66.0,60.0,128.0,110.0,38.0,97.0,49.0,96.0,103.0,68.0,65.0,87.0,94.0,52.0,55.0,63.0,77.0,61.0,84.0,157.0,124.0,83.0,78.0,52.0,82.0,71.0,93.0,45.0,80.0,67.0,48.0,87.0,87.0,64.0,101.0,45.0,55.0,119.0,77.0,66.0,43.0,78.0,66.0,57.0,44.0,92.0,68.0,67.0,143.0,87.0,117.0,80.0,86.0,133.0,110.0,117.0,109.0,76.0,102.0,81.0,125.0,182.0,139.0,131.0,120.0,67.0,90.0,104.0,97.0,100.0,83.0,98.0,138.0,139.0,93.0,116.0,88.0,93.0,77.0,136.0,72.0,83.0,80.0,84.0,83.0,92.0,117.0,103.0,96.0,138.0,157.0,108.0,93.0,112.0,94.0,154.0,100.0,138.0,97.0,126.0,70.0,87.0,47.0,125.0,103.0,90.0,93.0,103.0,158.0,79.0,77.0,150.0,106.0
c__Actinobacteria,0.0013189431436229,6.035124424148545e-05,0.0001476388332313,3.9499930875120966e-05,0.0048102151478047,0.0002912540567529,0.0001086956521739,5.979669124975085e-05,0.0095285569125174,0.0002913934852742,0.000125730810335,0.0005045748116254,0.0019041848790409,0.0011207272274453,0.0009762857052876,0.0002403557264751,0.0001719739746051,0.0001827930782354,0.0006981245835052,8.013248570970672e-05,9.550490258499936e-05,0.0058181180288566,6.82407533779173e-05,0.0004944239960446,0.0,3.32236951393734e-05,0.0007943316493502,7.12944699256161e-05,0.0006180087757246,0.0356483705407933,0.0004188414201946,0.0006894649751792,5.990714392691328e-05,3.345600535296086e-05,0.0172215108834827,0.0,4.979707691158529e-05,0.0004133451431945,0.0002768975171522,7.098239636570131e-05,0.000286721908421,6.191694873276646e-05,0.0002373417721518,5.1236070193416165e-05,3.268187463232891e-05,0.0008657473254591,0.0003205847465777,0.0001694463944227,0.0002859021642793,9.009009009009008e-05,8.780787636651008e-05,0.0001374475981032,0.0003552678324714,0.0001150880423523,7.527569724114569e-05,0.0060632138945391,9.658103148541626e-05,0.0001359496080119,0.0001789148812452,0.0010218757096359,0.0,0.0008471262869803,0.0,5.052291214065579e-05,0.0118158012390624,0.0,5.1506567087303634e-05,0.0,0.0016617736664266,0.0001092060718575,0.0,0.0,0.0,0.0,0.0,0.0003244909548146,0.0001694340901389,0.0,0.0,0.0,0.0004437213429965,0.0221770917952883,7.042749489400662e-05,0.0014269036191464,6.410667350471184e-05,0.0002524774348292,6.438320885912955e-05,0.0,6.350415952244872e-05,6.523582751647205e-05,0.0037068037785483,0.0001765536723163,0.0007933569577405,4.728579534707774e-05,6.87616035205941e-05,0.0,0.0,0.0,0.0,0.0008234519104084,7.493443237167478e-05,0.0003228097359416,0.0,0.0005862810240375,0.0021224795555278,8.23045267489712e-05,0.0,0.0009194275031413,0.0003027419773376,0.0001235737529348,0.0022322075663139,0.0005925048141016,0.0216316104136094,0.3650276941016422,0.0010391030899644,0.0,0.0004579803068468,0.2517496635262449,0.0016432626232446,0.0001689331869245,0.0070590435229769,0.0021492043810704,0.0001867849638104,0.0002119093028183,0.0002599524658348,0.0004900039200313,8.896797153024912e-05,0.000148230498425,0.0024242978684475,0.0001920245791461,0.0021999228097259,0.0004851130919895,0.0005197842895198,0.0004336278389072,0.0001069232825447,0.1156385461820606,0.0001967535661583,0.0002131173743939,0.0001364815067558,7.394808844191378e-05,0.0002317174900361,6.291088672894844e-05,9.857072449482504e-05,0.0007004584819154,0.0004271131422713,0.0026778740655335,0.0091297591297591,0.0007213561495611,0.0001863759202311,0.0001986820755654,0.0002780481023217,0.0002705627705627,0.0,0.0001730203587288,0.0007142128354249,0.0006561679790026,9.745955428497174e-05,0.0,0.03518036444775,4.86050354816759e-05,0.0001086484137331,0.0003057948116813,0.0,0.0003507233669443,0.0004113050120453,0.1175364157298455,0.000599430540986,0.0047467580132126,0.0027683181368779,0.0017931858936043
c__Bacilli,0.5693012437775666,0.0725220784968516,0.0739248729251471,0.0123634783639128,0.0104950148679377,0.0956353499209453,0.0731385869565217,0.0444887382898146,0.0516689353706934,0.0717868664793422,0.0663439575868066,0.242565931108719,0.0846496732591855,0.0375443621194197,0.0716782666204768,0.0833133036894604,0.5325460746940296,0.0640080428954423,0.1433376701678672,0.0859287355093755,0.0621418566153062,0.027818790474659,0.2350552750102361,0.1162995110696039,0.0904809476238047,0.0002657895611149,0.7746322244463508,0.0081275695715202,0.0057783820530251,0.0101382954516724,0.0017398028223468,0.0370242691671263,0.2181518646098547,0.071729675476748,0.0120038412291933,0.0959773218142548,0.02544630630182,0.0365810451727192,0.5745931144817401,0.1757879045996593,0.0661180720818877,0.1102534467101461,0.0511867088607594,0.0773664659920584,0.0078763317863912,0.1124234741203388,0.0904690154842432,0.0258042652078138,0.2444463504588729,0.176096096096096,0.2722044167361812,0.1127070304446429,0.0923696364425847,0.217171135918978,0.0432458880650382,0.0428336723517446,0.0764438864207069,0.4003715955952327,0.3848459095585275,0.1575959427749602,0.1135627875276878,0.0490681610843216,0.1103031876907096,0.0182892941949173,0.1363607332183687,0.0626122937877715,0.0262683492145248,0.0767673158239533,0.0935578574198194,0.1437151905645954,0.0202694986867648,0.1364224872231686,0.0442750329863656,0.0705446662451449,0.1453396524486571,0.0978340228766123,0.1188580142324635,0.1926448736998514,0.0987974534307946,0.0388795346701362,0.0017748853719863,0.1326563769293257,0.0948658356222269,0.0166039693864314,0.0025642669401884,0.0711355172631446,0.7347411795003863,0.0366754617414248,0.0601384390677589,0.0668667232043838,0.1510223603969867,0.2340218926553672,0.0033320992225101,0.0034518630603366,0.0400192532489857,0.2698498824380539,0.1278150249269382,0.0159785397714019,0.0470598246957705,0.1377909530083443,0.0469089546646684,0.0149783717476919,0.0447318462268628,0.0432870822747703,0.0431987015419189,0.1291358024691358,0.1116360454943132,0.074780103588832,0.182077674941614,0.5040985294723401,0.087577909842006,0.1699377869945193,0.0834827979781509,0.0721018365562141,0.066393218485097,0.0098862677329903,0.0688497061293031,0.0092193808882907,0.1568568867642665,0.0605062364501506,0.0629236594829601,0.0611696631535441,0.0422134018211534,0.1641590732499823,0.0648395721925133,0.0034300274402195,0.0280249110320284,0.0445432647767278,0.202771933034489,0.0999807975420853,0.1256271709764569,0.091019343884543,0.2253914625430446,0.4013225649086671,0.0638866613205025,0.299833277759253,0.125889490080341,0.435878309979221,0.0123743232791956,0.0221104784441322,0.0153396978403929,0.5334843194614828,0.0497453589617217,0.2462748344370861,0.0161021654636313,0.1229590508424145,0.1086635586635586,0.0463270949384843,0.0196937222377535,0.0670883141825888,0.00926827007739,0.0062680375180375,0.0570228847365106,0.1376088586423669,0.0243852668095092,0.0162252445717012,0.1218894158924046,0.040550384,0.1550762365191521,0.2145426266161174,0.1034876140808344,0.1245094541562611,0.0665702877598788,0.1004822446295484,0.0082848580997708,0.3128034644153799,0.0172336280533493,0.188304379740641,0.2955509172800176,0.1793424985056784
c__Bacteroidia,0.2689367616400278,0.5271077672051339,0.578048214624681,0.2758082673355321,0.1016267273045303,0.4917408671049347,0.53,0.5006178991429141,0.3838647213328476,0.4441252991986679,0.0134322415707969,0.036363024757804,0.6508417362703942,0.4458626486520142,0.359304632633137,0.3473140247566398,0.2149961305855713,0.4629539361442846,0.0003490622917526,0.2144879534163149,0.4621482236088119,0.3277588550879296,0.0010236113006687,0.3076415975388672,0.6255411255411255,0.5701186085916475,0.0008261049153242,0.2924023859882602,0.4659168160187875,0.5714610775415265,0.4272826857400605,0.6882411748483177,0.168908192301932,0.45209100033456,0.4953905249679897,0.3306560475161987,0.0013445210766128,0.6080307056392087,0.0003076639079469,0.0003194207836456,0.5681107893454139,0.5692850656319657,0.6753164556962026,0.4360445753810683,0.0009477743643375,0.2690309813864325,0.0782547366396306,0.6310667860860304,0.257397718500729,0.481021021021021,0.2469157483426263,0.3734451240464573,0.6167054829668811,0.5847047991713661,0.5666754488313448,0.536105460804256,0.5168050994784624,0.0006344315040558,0.0006262020843583,0.2367345393989857,0.4200886011245527,0.8698683696077154,0.4660131143283776,0.5197797201030667,0.3383789998083924,0.4546196983720804,0.3004378058202421,0.4267166934667381,0.6099263280341217,0.3073604892432019,0.4682539682539682,0.3942759795570698,0.6279870986658848,0.5014903802727848,0.2896919431279621,0.6134501500770666,0.6451202982039986,0.4321693907875186,0.6475477481726009,0.5550283177713149,0.4355864517083271,0.2404549147034931,0.5597577294175646,0.7711765468932417,0.4084877235720238,0.522502051379158,0.0091424156579963,0.517018469656992,0.5631548866450753,0.6291995563963729,0.5289967714934832,0.3697033898305085,0.5439255302269,0.461698505768867,0.6258681152444475,0.3602218604931573,0.3861956334880522,0.4969092605551667,0.4348566079482597,0.0758673693456302,0.2693892843761708,0.0383497966298663,0.2444826767916469,0.6833105335157319,0.767401211061864,0.563045267489712,0.5652960046660834,0.4874804621655582,0.042383876827264,0.001977180046958,0.47653283084505,0.478262479632647,0.6518832545247024,0.3484112331163152,0.1756631118403062,0.2518185106297472,0.6229295473627967,0.5228802153432033,0.4857334926800119,0.4645662640425712,0.334720209433874,0.4303781773093614,0.6367499416296988,0.1720703538885357,0.3396464646464646,0.1778387560433816,0.6371886120996442,0.2561793589030943,0.5933583386698381,0.5787620815464379,0.0929756850636819,0.5179795039718634,0.27587551166266,0.2429942002276546,0.5047313552526063,0.3718572857619206,0.0260042629939334,0.0013852629335606,0.6575224057140258,0.5439621385787178,0.7874687181388451,0.0093737221226133,0.3211434204041399,0.1887417218543046,0.5539230342117627,0.6623275188752928,0.6461538461538462,0.5055504348174569,0.5372285900661634,0.617901255008444,0.6263033504796329,0.5813943001443002,0.5827839596892714,0.51000634407982,0.4644424038363432,0.8398353614889048,0.5640634136833215,0.420396601,0.556638155448122,0.224944104209196,0.5572033898305084,0.6381428061770552,0.3330579650282252,0.3980710214818062,0.318878900052882,0.1179300992957438,0.3700484539687297,0.0032297528749694,0.5267054817093266,0.5490257023311417
c__Clostridia,0.0780445604231963,0.1964835341688627,0.1036846434522177,0.269251278810262,0.3313582298408256,0.2031913123075643,0.1673913043478261,0.2584612318118397,0.2037040587434575,0.239254865230513,0.2559669747071519,0.706202906350915,0.1119141385727268,0.1731212253284353,0.1088401095959436,0.1493209950727076,0.0053598555418613,0.138861808432854,0.6903817472154349,0.2757091724985309,0.1543677575448873,0.2995015130030552,0.7625221782448478,0.2266934021864527,0.0543504114932686,0.0695039702315691,0.1719886887173132,0.1972717982841797,0.3424386626290093,0.1354132429904179,0.1329660416263934,0.1238279095421952,0.1970046428036543,0.2113081298093007,0.2604993597951344,0.2145315874730021,0.1958270049548091,0.0880720401535282,0.4148232470848845,0.2778250993753549,0.0251455113685236,0.168331544621481,0.1449367088607595,0.2456769565774305,0.2295574874174782,0.4924556304495702,0.3041066906036611,0.0998765461983491,0.3320181833776481,0.3132132132132132,0.2495499846336216,0.0683114562573019,0.0946986144554533,0.1361491541028887,0.1133275621965448,0.1404709748083242,0.1430847981456442,0.4309602573979245,0.3500022364360156,0.1649004617364317,0.2118759584256261,0.0011077805291281,0.162241121859378,0.0536553326933764,0.0918439036852526,0.2091795067240159,0.1002832861189801,0.178845810255494,0.1057441976402814,0.2465873102544501,0.2511704921776864,0.1463032367972742,0.0996188242193226,0.1485863968927829,0.1472485518694049,0.080554879532733,0.1125889528973229,0.1320208023774145,0.050106107050224,0.0863309352517985,0.1911452940886456,0.4240454914703493,0.1326854003803084,0.1795304189907899,0.0937239566638887,0.1597550968882156,0.1610224053566829,0.2141820580474934,0.1329142058804851,0.1465196686019962,0.0466339830204472,0.106197033898305,0.1033479663616649,0.0763665594855305,0.1759609434092003,0.1423403870500994,0.1835997937080969,0.102985770935386,0.2308739681729214,0.1693017127799736,0.4756837766953915,0.0612047259345341,0.4200878025628856,0.1053351573187414,0.0739746550970722,0.119835390946502,0.0943715368912219,0.1411321217322014,0.3234149295043681,0.3737694113770235,0.1625452964197709,0.1196489408976447,0.0861459861949019,0.1070838596832183,0.2429860541427399,0.3091267130169192,0.0195404930921303,0.0576043068640646,0.1380714072303555,0.1635554804741391,0.1746996400355289,0.1271750361644968,0.0278776558487041,0.4727696545878364,0.2179144385026738,0.2646021168169345,0.1903024911032028,0.1257365202890494,0.1410666910621169,0.0981245599436727,0.4180239289849479,0.1533563762052028,0.116951465141966,0.1339910022223426,0.143651430098904,0.1291763921307102,0.5214625348417773,0.4921945761628217,0.2539010964014376,0.0890334984840641,0.1780980628417833,0.2541914378283162,0.1837686873665188,0.1752419765664798,0.0838423098278734,0.0803734146613605,0.0378399378399378,0.1378190999078267,0.2878576087969434,0.2717308520149674,0.1836507715834839,0.1864628427128427,0.2144446777241234,0.1050233577484284,0.3699112335475972,0.1069553805774278,0.0632187642128516,0.158316471,0.2523614726664187,0.4913969087197433,0.2256084311169057,0.1464247489934254,0.2165083298912295,0.0864533099517755,0.3493154709442388,0.1103626263068107,0.3493681003047105,0.2029361389772449,0.0666373722948478,0.063765690376569
c__Coriobacteriia,0.002212420757045,0.0010259711521052,0.0011811106658511,0.0054312404953291,0.01375284239986,0.0002912540567529,0.0007336956521739,0.0,0.0217412143637723,0.0035175356436673,0.0002305064856142,0.000100914962325,0.00194746180811,0.0012452524749392,0.0002204516108714,0.0004506669871409,0.0014044541259422,0.0015842066780404,3.173293561387364e-05,0.0234521074843741,0.0037246912008149,0.0043708977151461,0.0,0.0016755479865956,0.0015698587127158,0.0011296056347386,0.0,0.0089831032106276,0.0107842531363945,0.0037418147801683,0.001449835685289,0.0016374793160507,0.0013479107383555,0.0115423218467714,0.0035211267605633,0.0082680885529157,2.4898538455792647e-05,0.0012105107764983,0.0,0.0,0.0015482983054735,0.0020226203252703,0.0015427215189873,0.0078135007044959,0.0059154193084515,0.0338259847875827,0.0016990991568621,0.0019607368497494,0.0,0.0018018018018018,0.0056636080256399,6.872379905161158e-05,7.894840721588442e-05,0.0012659684658763,0.002371184463096,0.0108746675011735,0.0014970059880239,4.5316536003987856e-05,8.945744062262379e-05,0.0026493073953523,0.0013630942238882,0.0,0.0007141465948191,0.0041934017076744,0.0037682825573226,0.0024500462786519,0.0047386041720319,0.0008933357155619,0.0009970641998559,0.0006552364311455,5.709717939933767e-05,0.0013628620102214,0.0003665151737281,0.0015355433113539,0.0009215376513954,0.0012168410805548,0.001101321585903,0.0024517087667161,0.0009431737797689,7.653451706719731e-05,0.0105507074890302,0.0123476848090982,0.0024649623212902,0.0009728888312362,0.0177575485608051,0.0015779839676828,6.438320885912955e-05,0.0006596306068601,0.0026036705404203,0.0027399047556918,0.0021523376778667,0.0005296610169491,0.002591632728619,0.0044921505579723,0.0131334662724334,0.0048833423765599,0.0042117930204572,0.0,0.0011913879669815,5.489679402722881e-05,7.493443237167478e-05,0.0111692168635806,0.0045087802562885,0.0022474105921438,0.0006242586928022,0.0006584362139917,0.0005832604257801,0.0015017315884642,0.0031571663350921,8.238250195658442e-05,0.0012175677634439,0.0012590727299659,0.0004891570194032,0.0011174812943348,0.0004375170905113,0.0044608769039103,0.0004579803068468,0.0003701211305518,0.0009336719450253,0.0021961314300194,0.0144920761067738,0.0006612936557139,0.0001400887228578,0.0002825457370911,7.427213309566251e-05,0.0119234287207631,0.0021352313167259,0.0027422642208634,0.0078675327051504,0.0006400819304871,0.0011192589733693,0.0011521435934752,0.0003898382171398,0.0011924765569949,0.0005346164127238,0.0003334444814938,9.837678307919332e-05,5.3279343598486864e-05,0.0004549383558527,7.394808844191378e-05,0.0004634349800722,0.0029253562328961,0.0013142763265976,0.0002228731533367,0.0001281339426814,0.0009670100792204,0.0013597513597513,0.0008015068328457,0.0025471375764917,0.0014570018874797,0.0012975578108346,0.001082251082251,0.0017635943732941,0.000461387623277,0.0016835016835016,0.0001193032689095,0.0009421090247547,0.001295022,0.0002975083674228,0.0,0.0011951325510647,0.0009683502369909,0.0029602092799118,0.0003507233669443,0.0038780186849991,0.0006998818949302,0.0003496678155752,0.0,8.788311545644293e-05,0.0
c__Dehalobacteriia,2.8364368680064103e-05,0.0,4.218252378039778e-05,0.0,0.0,0.0,2.7173913043478265e-05,1.993223041658361e-05,0.0001150328802315,0.0001665105630138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.797941730685607e-05,0.0,0.0001087015598673,4.8586143231950245e-05,0.0,0.0,0.0,0.0,3.734687780101583e-05,2.8155531154095225e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.719269535463235e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c__Desulfitobacteriia,0.002240785125725,4.0234162827656965e-05,0.0013287494990825,3.9499930875120966e-05,2.1864614308203603e-05,0.0002080386119663,0.0013586956521739,0.0,0.0061926033858011,0.0043292746383598,6.286540516753631e-05,0.0,8.655385813822652e-05,6.226262374696469e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0053864168618266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002683067778419,0.0,0.0,0.0,0.0,0.0,0.0016944639442279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048560231726018,0.0,0.0018178276959033,0.0,0.0,0.0,0.0,0.0,5.5392455547554426e-05,0.0001638091077863,0.0,0.0,0.0,0.0,0.000329120589784,0.0010545956031475,0.0008471704506946,0.0173848439821693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003155967935365,0.0,0.0,0.0,0.0,0.0,0.0007062146892655,0.0,0.0,6.87616035205941e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057613168724279,0.0016331291921843,3.064758343804591e-05,0.0,0.0,0.0004638353384548,3.703155088135091e-05,0.0014674710582096,0.0030609270236128,0.0,0.0,0.0,0.0,7.469375560203167e-05,0.0002815553115409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007040901235358,0.0001157854110382,0.0001212782729973,0.0,0.0,0.0,0.0,0.0003279226102639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006694685163833,0.0006216006216006,0.0,0.0,0.0,0.0,4.509379509379509e-05,0.0022674784799496,0.0,0.0,0.0,0.0017867584952244,0.0,0.0,0.0,0.0044002607561929,0.0011722134447785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c__Desulfotomaculia,0.0004254655302009,0.0,0.0004429164996941,0.0,0.0,2.080386119663809e-05,0.0004076086956521,0.0,0.0013037059759581,0.0015194088875013,0.0,0.0,0.0,0.0,3.149308726734482e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010036801605888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.12779658218443e-05,0.0,0.0,0.0,0.0002164368313647,0.0,0.0002662729055215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000425966944965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001316482359136,0.0,0.0,0.0017830609212481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004938271604938,0.000233304170312,0.0,0.0,0.0,0.0001449485432671,3.703155088135091e-05,0.0003804554595358,0.0004372752890875,0.0,0.0,0.0,0.0,3.734687780101583e-05,8.446659346228566e-05,4.674863260249637e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001920245791461,0.0001157854110382,0.0,0.0,0.0,0.0,0.0,3.279226102639777e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001859634767731,0.0001942501942501,0.0,0.0,0.0,0.0,0.0,0.000293932395549,0.0,0.0,0.0,0.0001299460723799,0.0,0.0,0.0,0.0005432420686657,0.0001019316038937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
