serial_number,Cerebral Infarction,Brain Tumors,Dementia with Lewy Bodies,Epilepsy,Asthma,Chronic Heart Failure,Hypertension,Primary Sclerosing Cholangitis,Cholesterol Gallstone Disease,Chronic Enteropathies,Ulcerative Colitis,Acute Pancreatitis,Idiopathic Inflammatory Bowel Disease,Chronic Kidney Disease,Nephrolithiasis,Autoimmune Disease,Diabetes Mellitus,Cushing's Syndrome,Alimentary Small Cell Lymphoma,Osteoarthritis,Atopic Dermatitis,Food Allergy,Glaucoma,Diarrhea,Acute Diarrhea,Chronic Enteropathy,Obesity,Constipation,Dysbiosis,HealthyDistance,Diversity,TotalScore
20230210_BC19,59.3,41.5,68.6,29.7,33.1,89.0,75.4,70.3,85.6,95.0,51.7,92.4,34.7,36.4,33.1,34.7,26.3,89.0,26.3,33.1,12.7,65.3,89.0,41.5,95.0,94.1,95.0,38.1,95.0,90.7,80.5,89.6
20230210_BC52,59.3,29.7,12.7,63.6,34.7,21.2,56.8,61.9,36.4,19.5,46.6,48.3,5.0,56.8,82.2,66.9,89.0,41.5,56.8,44.9,85.6,43.2,31.4,87.3,17.8,36.4,56.8,82.2,43.2,9.3,19.5,24.5
20230210_BC38,59.3,21.2,22.9,12.7,5.0,92.4,73.7,50.0,63.6,92.4,28.0,94.1,50.0,51.7,44.9,13.6,29.7,95.0,24.6,7.6,43.2,90.7,95.0,55.1,87.3,66.9,51.7,36.4,12.7,92.4,95.0,63.9
20230210_BC39,59.3,82.2,95.0,17.8,21.2,95.0,77.1,56.8,89.0,83.9,31.4,95.0,92.4,21.2,21.2,75.4,24.6,87.3,29.7,26.3,14.4,61.9,94.1,5.0,83.9,82.2,63.6,28.0,95.0,94.1,92.4,94.0
20230210_BC54,59.3,9.3,7.6,82.2,91.5,36.4,5.0,29.7,5.9,51.7,72.0,29.7,63.6,66.9,31.4,41.5,46.6,48.3,80.5,70.3,38.1,55.1,41.5,36.4,31.4,12.7,12.7,9.3,58.5,14.4,56.8,41.9
20230210_BC42,59.3,5.0,82.2,16.1,26.3,72.0,82.2,65.3,90.7,90.7,75.4,17.8,78.8,14.4,5.9,65.3,5.0,75.4,17.8,22.9,22.9,85.6,77.1,70.3,73.7,87.3,89.0,70.3,75.4,51.7,75.4,66.7
20230210_BC55,59.3,90.7,46.6,50.0,82.2,9.3,17.8,9.3,7.6,24.6,66.9,58.5,55.1,24.6,87.3,68.6,87.3,7.6,95.0,46.6,68.6,28.0,5.0,72.0,16.1,16.1,28.0,77.1,22.9,5.9,16.1,14.9
20230210_BC25,59.3,16.1,19.5,56.8,5.0,61.9,7.6,24.6,61.9,55.1,56.8,56.8,60.2,29.7,41.5,90.7,56.8,60.2,65.3,58.5,19.5,50.0,58.5,46.6,33.1,53.4,16.1,34.7,56.8,53.4,68.6,58.7
20230210_BC06,59.3,38.1,34.7,72.0,80.5,39.8,9.3,43.2,60.2,48.3,36.4,60.2,51.7,58.5,39.8,77.1,77.1,31.4,63.6,73.7,29.7,38.1,39.8,43.2,12.7,56.8,21.2,31.4,63.6,29.7,39.8,44.8
20230210_BC26,59.3,58.5,29.7,77.1,50.0,12.7,44.9,44.9,24.6,11.0,44.9,44.9,5.0,28.0,95.0,13.6,95.0,43.2,66.9,80.5,83.9,24.6,14.4,77.1,9.3,28.0,46.6,58.5,53.4,63.6,5.0,44.2
