taxa,20230315_ST_BC43,20230227_PROUMED_BC10,20230227_PROUMED_BC12,20230227_PROUMED_BC11,20230227_PROUMED_BC14,20230227_PROUMED_BC13,20230307_ST_BC72,20230307_ST_BC68,20230307_ST_BC77,20230307_ST_BC73,20230307_ST_BC85,20230307_ST_BC74,20230307_ST_BC60,20230307_ST_BC62,20230307_ST_BC70,20230307_ST_BC75,20230307_ST_BC56,20230307_ST_BC57,20230307_ST_BC82,20230307_ST_BC55,20230307_ST_BC76,20230307_ST_BC78,20230307_ST_BC58,20230307_ST_BC65,20230307_ST_BC80,20230307_ST_BC81,20230307_ST_BC86,20230307_ST_BC79,20230307_ST_BC61,20230307_ST_BC67,20230307_ST_BC59,20230307_ST_BC66,20230307_ST_BC71,20230307_ST_BC83,20230307_ST_BC64,20230307_ST_BC63,20230307_ST_BC69,20230131_ST_BC49,20230131_ST_BC60,20230131_ST_BC50,20230131_ST_BC56,20230131_ST_BC57,20230131_ST_BC46,20230131_ST_BC55,20230131_ST_BC52,20230131_ST_BC53,20230131_ST_BC44,20230131_ST_BC58,20230131_ST_BC42,20230131_ST_BC43,20230131_ST_BC47,20230131_ST_BC51,20230131_ST_BC59,20230131_ST_BC54,20230131_ST_BC48,20230131_ST_BC45,20230201_PROUMED_BC34,20230201_PROUMED_BC32,20230201_PROUMED_BC11,20230201_PROUMED_BC40,20230201_PROUMED_BC04,20230201_PROUMED_BC29,20230201_PROUMED_BC47,20230201_PROUMED_BC33,20230201_PROUMED_BC48,20230201_PROUMED_BC45,20230201_PROUMED_BC09,20230215_PROUMED_BC26,20230215_PROUMED_BC15,20230215_PROUMED_BC28,20230215_PROUMED_BC40,20230215_PROUMED_BC39,20230215_PROUMED_BC35,20230215_PROUMED_BC13,20230131_NURI_BC26,20230131_NURI_BC18,20230131_NURI_BC25,20230131_NURI_BC05,20230131_NURI_BC36,20230131_NURI_BC20,20230131_NURI_BC02,20230131_NURI_BC16,20230131_NURI_BC03,20230131_NURI_BC10,20230131_NURI_BC32,20230131_NURI_BC12,20230131_NURI_BC21,20230131_NURI_BC07,20230131_NURI_BC38,20230131_NURI_BC24,20230131_NURI_BC39,20230131_NURI_BC23,20230131_NURI_BC35,20230131_NURI_BC01,20230131_NURI_BC27,20230131_NURI_BC29,20230131_NURI_BC19,20230131_NURI_BC22,20230131_NURI_BC30,20230131_NURI_BC08,20230131_NURI_BC14,20230131_NURI_BC13
diversity,2.8017885659738218,1.943376229480157,2.5727326807296773,1.958763450397016,2.839958685856766,2.7530387857707,2.466377417990771,1.305223223231338,2.921626792037109,2.2005537154201344,1.2065006067858803,2.18710745456344,2.295332708068656,3.2579202250804697,2.353966381743893,2.4483349614855627,1.5953559541966782,2.2540647719895293,2.525216607984509,2.1597818375380005,2.1052246581768075,2.839902601579024,2.662041804378848,2.6959287579063496,1.3212886305572369,2.6308034108549805,1.8824963402254031,2.353577778082971,3.258304687144962,2.718200667416676,2.093590660402022,3.3228500105266137,2.452265966414421,1.2140860920262024,2.1932311600443173,1.9950531081566787,2.8442412687340317,1.8610166504728969,1.8725084679849395,1.2044017739118635,1.7306056062492274,2.4943973627954352,1.928244044616695,2.544717952291438,2.143290922985067,1.1103017238344357,1.991472897368744,1.8193417217611465,1.9803336964942493,3.335239623901399,2.385761708617381,2.9980954992999367,1.6564677349177568,2.515589779621977,2.6412185258850087,2.3818011826016385,1.9263969784315855,2.8249927382974684,2.325179694425028,2.850968133067187,1.9824855644438917,2.3966211564255064,2.266209328061446,3.2290728045339288,2.5597542373811266,2.9889797495365675,3.157101240805398,2.2874941070066783,2.0790376962808805,2.7112677820490187,1.7312381453676162,3.022534412543458,2.252956910384702,2.315864572906233,2.3730546285449043,1.8532116289810103,2.3660026880001435,3.200478627683012,2.8079049401201317,2.433837675097362,2.568986972995789,2.558311126585456,2.727880518977305,3.047668085045672,1.9598146339976357,2.4253578990502875,2.616048750996152,2.0849801270715806,2.4339181216285963,1.9721880587166425,2.6065327213702374,2.699182906316397,2.915258061534266,2.013415045137802,2.678264677601537,2.655563428030504,2.9669310207238206,2.6456334346441785,2.5534062612968675,2.855159933826961,1.274613539470903,2.5550084842257994
observed,126.0,87.0,47.0,103.0,125.0,90.0,96.0,50.0,133.0,56.0,86.0,79.0,75.0,135.0,105.0,86.0,51.0,75.0,72.0,76.0,61.0,145.0,85.0,113.0,111.0,93.0,84.0,75.0,158.0,94.0,87.0,148.0,66.0,79.0,60.0,47.0,141.0,66.0,52.0,44.0,55.0,61.0,45.0,55.0,49.0,38.0,52.0,45.0,87.0,119.0,57.0,124.0,43.0,68.0,66.0,48.0,98.0,140.0,118.0,202.0,195.0,125.0,93.0,220.0,152.0,157.0,273.0,118.0,144.0,107.0,88.0,147.0,127.0,112.0,84.0,68.0,63.0,143.0,110.0,87.0,78.0,71.0,82.0,157.0,93.0,80.0,78.0,67.0,96.0,64.0,103.0,92.0,94.0,83.0,77.0,87.0,97.0,77.0,65.0,101.0,67.0,87.0
c__Actinobacteria,9.745955428497174e-05,0.03518036444775,4.86050354816759e-05,0.0003057948116813,0.0001086484137331,0.0,0.0004188414201946,6.82407533779173e-05,3.345600535296086e-05,3.32236951393734e-05,0.0007943316493502,0.0006981245835052,5.990714392691328e-05,0.0004944239960446,0.0004133451431945,0.0003205847465777,0.0002768975171522,0.0356483705407933,0.0002859021642793,0.0,5.1236070193416165e-05,0.0001694463944227,0.0172215108834827,0.0002373417721518,0.0006894649751792,0.0006180087757246,3.268187463232891e-05,8.013248570970672e-05,9.550490258499936e-05,0.0058181180288566,0.000286721908421,0.0008657473254591,0.0,4.979707691158529e-05,7.098239636570131e-05,7.12944699256161e-05,6.191694873276646e-05,0.0008234519104084,0.0004437213429965,0.0003228097359416,4.728579534707774e-05,0.0,0.0007933569577405,0.0,5.052291214065579e-05,0.0008471262869803,0.0,6.410667350471184e-05,0.0016617736664266,6.87616035205941e-05,7.493443237167478e-05,0.0,0.0,5.1506567087303634e-05,0.0,0.0,0.0048102151478047,6.035124424148545e-05,0.000125730810335,0.0001086956521739,0.0013189431436229,3.9499930875120966e-05,5.979669124975085e-05,0.0095285569125174,0.0002912540567529,0.0001476388332313,0.0002913934852742,0.0009762857052876,0.0019041848790409,0.0002403557264751,0.0001719739746051,0.0005045748116254,0.0011207272274453,0.0001827930782354,0.0003244909548146,0.0005862810240375,0.0,8.23045267489712e-05,0.0,6.523582751647205e-05,0.0,7.042749489400662e-05,0.0221770917952883,0.0001694340901389,0.0014269036191464,0.0002524774348292,0.0,0.0021224795555278,0.0118158012390624,0.0037068037785483,0.0,0.0,0.0001092060718575,0.0,0.0,6.350415952244872e-05,0.0,0.0,0.0,0.0001765536723163,6.438320885912955e-05,0.0
c__Bacilli,0.1218894158924046,0.1550762365191521,0.2145426266161174,0.1245094541562611,0.1034876140808344,0.0665702877598788,0.0017398028223468,0.2350552750102361,0.071729675476748,0.0002657895611149,0.7746322244463508,0.1433376701678672,0.2181518646098547,0.1162995110696039,0.0365810451727192,0.0904690154842432,0.5745931144817401,0.0101382954516724,0.2444463504588729,0.0904809476238047,0.0773664659920584,0.0258042652078138,0.0120038412291933,0.0511867088607594,0.0370242691671263,0.0057783820530251,0.0078763317863912,0.0859287355093755,0.0621418566153062,0.027818790474659,0.0661180720818877,0.1124234741203388,0.0959773218142548,0.02544630630182,0.1757879045996593,0.0081275695715202,0.1102534467101461,0.1377909530083443,0.0017748853719863,0.0149783717476919,0.0034518630603366,0.1453396524486571,0.0033320992225101,0.1364224872231686,0.0182892941949173,0.0490681610843216,0.0202694986867648,0.0025642669401884,0.0935578574198194,0.0400192532489857,0.0469089546646684,0.1926448736998514,0.0159785397714019,0.0262683492145248,0.1278150249269382,0.0366754617414248,0.0104950148679377,0.0725220784968516,0.0663439575868066,0.0731385869565217,0.5693012437775666,0.0123634783639128,0.0444887382898146,0.0516689353706934,0.0956353499209453,0.0739248729251471,0.0717868664793422,0.0716782666204768,0.0846496732591855,0.0833133036894604,0.5325460746940296,0.242565931108719,0.0375443621194197,0.0640080428954423,0.0978340228766123,0.0432870822747703,0.0442750329863656,0.1291358024691358,0.1135627875276878,0.0668667232043838,0.0388795346701362,0.0948658356222269,0.1326563769293257,0.1188580142324635,0.0166039693864314,0.0711355172631446,0.0470598246957705,0.0431987015419189,0.1363607332183687,0.1510223603969867,0.0626122937877715,0.0447318462268628,0.1437151905645954,0.0987974534307946,0.0705446662451449,0.0601384390677589,0.1103031876907096,0.2698498824380539,0.0767673158239533,0.2340218926553672,0.7347411795003863,0.1116360454943132
c__Bacteroidia,0.5640634136833215,0.556638155448122,0.224944104209196,0.6381428061770552,0.5572033898305084,0.3330579650282252,0.4272826857400605,0.0010236113006687,0.45209100033456,0.5701186085916475,0.0008261049153242,0.0003490622917526,0.168908192301932,0.3076415975388672,0.6080307056392087,0.0782547366396306,0.0003076639079469,0.5714610775415265,0.257397718500729,0.6255411255411255,0.4360445753810683,0.6310667860860304,0.4953905249679897,0.6753164556962026,0.6882411748483177,0.4659168160187875,0.0009477743643375,0.2144879534163149,0.4621482236088119,0.3277588550879296,0.5681107893454139,0.2690309813864325,0.3306560475161987,0.0013445210766128,0.0003194207836456,0.2924023859882602,0.5692850656319657,0.0758673693456302,0.4355864517083271,0.0383497966298663,0.461698505768867,0.2896919431279621,0.5439255302269,0.3942759795570698,0.5197797201030667,0.8698683696077154,0.4682539682539682,0.4084877235720238,0.6099263280341217,0.6258681152444475,0.2693892843761708,0.4321693907875186,0.4969092605551667,0.3004378058202421,0.3861956334880522,0.517018469656992,0.1016267273045303,0.5271077672051339,0.0134322415707969,0.53,0.2689367616400278,0.2758082673355321,0.5006178991429141,0.3838647213328476,0.4917408671049347,0.578048214624681,0.4441252991986679,0.359304632633137,0.6508417362703942,0.3473140247566398,0.2149961305855713,0.036363024757804,0.4458626486520142,0.4629539361442846,0.6134501500770666,0.6833105335157319,0.6279870986658848,0.563045267489712,0.4200886011245527,0.6291995563963729,0.5550283177713149,0.5597577294175646,0.2404549147034931,0.6451202982039986,0.7711765468932417,0.522502051379158,0.4348566079482597,0.767401211061864,0.3383789998083924,0.5289967714934832,0.4546196983720804,0.2444826767916469,0.3073604892432019,0.6475477481726009,0.5014903802727848,0.5631548866450753,0.4660131143283776,0.3602218604931573,0.4267166934667381,0.3697033898305085,0.0091424156579963,0.5652960046660834
c__Clostridia,0.0632187642128516,0.2523614726664187,0.4913969087197433,0.1464247489934254,0.2256084311169057,0.2165083298912295,0.1329660416263934,0.7625221782448478,0.2113081298093007,0.0695039702315691,0.1719886887173132,0.6903817472154349,0.1970046428036543,0.2266934021864527,0.0880720401535282,0.3041066906036611,0.4148232470848845,0.1354132429904179,0.3320181833776481,0.0543504114932686,0.2456769565774305,0.0998765461983491,0.2604993597951344,0.1449367088607595,0.1238279095421952,0.3424386626290093,0.2295574874174782,0.2757091724985309,0.1543677575448873,0.2995015130030552,0.0251455113685236,0.4924556304495702,0.2145315874730021,0.1958270049548091,0.2778250993753549,0.1972717982841797,0.168331544621481,0.1693017127799736,0.1911452940886456,0.0612047259345341,0.0763665594855305,0.1472485518694049,0.1033479663616649,0.1463032367972742,0.0536553326933764,0.0011077805291281,0.2511704921776864,0.0937239566638887,0.1057441976402814,0.1759609434092003,0.4756837766953915,0.1320208023774145,0.102985770935386,0.1002832861189801,0.1835997937080969,0.2141820580474934,0.3313582298408256,0.1964835341688627,0.2559669747071519,0.1673913043478261,0.0780445604231963,0.269251278810262,0.2584612318118397,0.2037040587434575,0.2031913123075643,0.1036846434522177,0.239254865230513,0.1088401095959436,0.1119141385727268,0.1493209950727076,0.0053598555418613,0.706202906350915,0.1731212253284353,0.138861808432854,0.080554879532733,0.1053351573187414,0.0996188242193226,0.119835390946502,0.2118759584256261,0.1465196686019962,0.0863309352517985,0.1326854003803084,0.4240454914703493,0.1125889528973229,0.1795304189907899,0.1597550968882156,0.2308739681729214,0.0739746550970722,0.0918439036852526,0.0466339830204472,0.2091795067240159,0.4200878025628856,0.2465873102544501,0.050106107050224,0.1485863968927829,0.1329142058804851,0.162241121859378,0.1423403870500994,0.178845810255494,0.106197033898305,0.1610224053566829,0.0943715368912219
c__Coriobacteriia,0.0009421090247547,0.0002975083674228,0.0,0.0009683502369909,0.0011951325510647,0.0029602092799118,0.001449835685289,0.0,0.0115423218467714,0.0011296056347386,0.0,3.173293561387364e-05,0.0013479107383555,0.0016755479865956,0.0012105107764983,0.0016990991568621,0.0,0.0037418147801683,0.0,0.0015698587127158,0.0078135007044959,0.0019607368497494,0.0035211267605633,0.0015427215189873,0.0016374793160507,0.0107842531363945,0.0059154193084515,0.0234521074843741,0.0037246912008149,0.0043708977151461,0.0015482983054735,0.0338259847875827,0.0082680885529157,2.4898538455792647e-05,0.0,0.0089831032106276,0.0020226203252703,5.489679402722881e-05,0.0105507074890302,0.0111692168635806,0.0044921505579723,0.0009215376513954,0.002591632728619,0.0013628620102214,0.0041934017076744,0.0,5.709717939933767e-05,0.0177575485608051,0.0009970641998559,0.0131334662724334,7.493443237167478e-05,0.0024517087667161,0.0,0.0047386041720319,0.0042117930204572,0.0006596306068601,0.01375284239986,0.0010259711521052,0.0002305064856142,0.0007336956521739,0.002212420757045,0.0054312404953291,0.0,0.0217412143637723,0.0002912540567529,0.0011811106658511,0.0035175356436673,0.0002204516108714,0.00194746180811,0.0004506669871409,0.0014044541259422,0.000100914962325,0.0012452524749392,0.0015842066780404,0.0012168410805548,0.0022474105921438,0.0003665151737281,0.0006584362139917,0.0013630942238882,0.0027399047556918,7.653451706719731e-05,0.0024649623212902,0.0123476848090982,0.001101321585903,0.0009728888312362,0.0015779839676828,0.0011913879669815,0.0006242586928022,0.0037682825573226,0.0021523376778667,0.0024500462786519,0.0045087802562885,0.0006552364311455,0.0009431737797689,0.0015355433113539,0.0026036705404203,0.0007141465948191,0.0048833423765599,0.0008933357155619,0.0005296610169491,6.438320885912955e-05,0.0005832604257801
c__Desulfitobacteriia,0.0017867584952244,0.0,0.0,0.0011722134447785,0.0044002607561929,0.0,0.0,0.0,0.0053864168618266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016944639442279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002683067778419,0.0,0.0,0.0,0.0,0.000329120589784,0.0,0.0,0.0,0.0,0.0,0.0,5.5392455547554426e-05,6.87616035205941e-05,0.0,0.0173848439821693,0.0,0.0,0.0,0.0,2.1864614308203603e-05,4.0234162827656965e-05,6.286540516753631e-05,0.0013586956521739,0.002240785125725,3.9499930875120966e-05,0.0,0.0061926033858011,0.0002080386119663,0.0013287494990825,0.0043292746383598,0.0,8.655385813822652e-05,0.0,0.0,0.0,6.226262374696469e-05,0.0,0.0010545956031475,0.0,0.0,0.0057613168724279,0.0048560231726018,0.0,0.0,0.0,0.0,0.0008471704506946,0.0,0.0003155967935365,0.0,0.0,0.0,0.0,0.0,0.0,0.0001638091077863,0.0,0.0,0.0,0.0018178276959033,0.0,0.0,0.0007062146892655,0.0,0.0016331291921843
c__Desulfotomaculia,0.0001299460723799,0.0,0.0,0.0001019316038937,0.0005432420686657,0.0,0.0,0.0,0.0010036801605888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002662729055215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002164368313647,0.0,0.0,0.0,0.0,4.12779658218443e-05,0.0,0.0,0.0,0.0,0.0001316482359136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017830609212481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004076086956521,0.0004254655302009,0.0,0.0,0.0013037059759581,2.080386119663809e-05,0.0004429164996941,0.0015194088875013,3.149308726734482e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004938271604938,0.000425966944965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000233304170312
c__Fusobacteriia,0.1298161263075823,0.0,4.86050354816759e-05,0.0224249528566332,0.0408518035636679,0.3363623846895222,0.2859720342805593,3.412037668895865e-05,0.1217798594847775,0.2245921791421642,0.000254186127792,0.1296925078539015,0.3751085816983675,0.1959841784321265,0.058104517271922,6.411694931555156e-05,0.0001845983447681,0.1116982276944858,0.0001715412985676,0.0567527710384853,0.1711284744460099,0.082302534433928,0.1101792573623559,0.0775316455696202,0.0001206563706563,0.0168407391384957,0.4514020524217269,0.0129814626849724,0.1154972621927925,0.1485812855409534,0.0243140178341027,0.011965864819739,0.1710988120950324,0.7508901227497946,7.098239636570131e-05,0.4126048622828489,0.063072731775778,0.0688405797101449,0.2465118572203323,0.0191103363677448,0.321779837336864,0.2293312269615587,0.2947585550325276,0.0001362862010221,0.0858889506391148,0.0063860289326208,5.709717939933767e-05,0.2675171485351625,0.034675677172769,0.0031630337619473,0.0003746721618583,0.0240713224368499,0.3202705854910194,0.3750193149626577,0.1721677840811414,0.1189973614775725,0.0128563932132237,0.0884548069766038,0.3376500911548375,0.0676630434782608,5.6728737360128206e-05,0.2769735152963482,0.000139525612916,0.0364462508867117,0.006553216276941,0.121527851011326,0.0997606410656676,0.2904607438667212,0.0129398017916648,0.3203340944598005,0.2068560291209263,0.0003700215285252,0.3252599464541436,0.1679563733853278,0.0464022065384927,0.0228649599374633,0.0803401260812197,0.0618106995884773,0.0699437723632646,0.0343140452736642,0.2116944742078677,0.0545813085428551,0.0001624695369618,0.031684174855981,0.0018160591516409,0.1491510446253866,0.1513913709471534,0.0456957363131281,0.0005748227629814,0.2532584000956595,0.1287090978385147,0.1481371618414808,0.1016162498634924,0.0150907804763027,0.1515671574383524,0.117609703435575,0.1232227488151658,0.0470247784409477,0.2141623488773748,0.1743467514124294,0.0012232809683234,0.1062117235345581
